name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,sideEffect5,sideEffect6,sideEffect7,sideEffect8,sideEffect9,sideEffect10,sideEffect11,sideEffect12,sideEffect13,sideEffect14,sideEffect15,sideEffect16,sideEffect17,sideEffect18,sideEffect19,sideEffect20,sideEffect21,sideEffect22,sideEffect23,sideEffect24,sideEffect25,sideEffect26,sideEffect27,sideEffect28,sideEffect29,sideEffect30,sideEffect31,sideEffect32,use0,use1,use2,use3,use4,Chemical Class,Therapeutic Class,Habit Forming
tyrodin cream,M-Laz Cream,Depiluk Cream,Nucell-TX Cream,Glu-Cell Cream,Xinfine Cream,Dry skin,Skin rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Melasma,,,,,,DERMA,No
telma 80-h tablet,Newtel-H 80 Tablet,Cortel-H 80 Tablet,Telmikind-H 80 Tablet,Telvas H 80/12.5 Tablet,Telmed H 80 Tablet,Fatigue,Dizziness,Nausea,Diarrhea,Sinus inflammation,Flu-like symptoms,Upper respiratory tract infection,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),,,,,,CARDIAC,No
tenepride m  500 tablet sr,Dynaglipt-M Tablet SR,Glipti Next M 500 Tablet SR,Gliptel-M Tablet SR,Tenaguard-M Tablet SR,Tenligress-M 500 Tablet SR,Hypoglycemia (low blood glucose level),Nausea,Vomiting,Diarrhea,Headache,Bloating,Flatulence,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,,ANTI DIABETIC,No
trapic e tablet,Theolate 250mg/250mg Tablet,Sepclot-TX Tablet,Xelomic ET 250mg/250mg Tablet,Noloss ET 250mg/250mg Tablet,Styptovit TX 250mg/250mg Tablet,Nausea,Stomach pain,Diarrhea,Headache,Nasal congestion (stuffy nose),Sinus pain,Sinus inflammation,Rash,Tiredness,"Musculoskeletal (bone, muscle or joint) pain",Anemia (low number of red blood cells),,,,,,,,,,,,,,,,,,,,,,, Heavy menstrual bleeding,,,,,,BLOOD RELATED,No
taxim-o forte dry syrup,Aelxim 100 Dry Syrup,Linicef Dry Syrup,Kricef 100 Dry Syrup,Calano 100 Dry Syrup,Apocef 100 Dry Syrup Pineapple,Nausea,Stomach pain,Indigestion,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Broad spectrum (Third & fourth generation cephalosporins},ANTI INFECTIVES,No
torplat 90 tablet,Brigrel Tablet,Xygrel 90 Tablet,Ticastro 90 Tablet,Ticavic 90 Tablet,Ticaplat 90mg Tablet,Bleeding,Breathlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Prevention of heart attack and stroke,,,,,Triazolopyrimidines,BLOOD RELATED,No
tellzy 40 tablet,Telmisoft 40 Tablet,Telmizem 40 Tablet,Telmizem 40 Tablet,Telmook 40mg Tablet,Tels 40mg Tablet,Upper respiratory tract infection,Sinus infection,Back pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure), Prevention of heart attack and stroke,Treatment of Heart failure,,,Benzimidazole derivative,CARDIAC,No
telplus tablet,Telmiget LN 10mg/40mg Tablet,Natcocil-T Tablet,Cilaht TN 10mg/40mg Tablet,Cilnilib T 10mg/40mg Tablet,Telsar-LN 10 Tablet,Sleepiness,Ankle swelling,Headache,"Flushing (sense of warmth in the face, ears, neck and trunk)",Dizziness,Tiredness,Palpitations,Upset stomach,Increased potassium level in blood,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),,,,,,CARDIAC,No
tossex dmr syrup kiwi sugar free,Cofstop-CDX Syrup,Lastuss-D Syrup,Pulomrest D Syrup,Ambrodil-D Syrup Sugar Free,Respira D 2mg/10mg Syrup,Upset stomach,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Dry cough,,,,,,RESPIRATORY,No
topisal 6% lotion,Clonova S Lotion,Closic-S Lotion,Nuvate-S6 Lotion,Clotinate-SL Lotion,Covnik S Lotion,Skin peeling,Thinning of skin,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Eczema,Treatment of Psoriasis,,,,,DERMA,No
telvas beta 25 tablet er,Telmikaa MT 25 Tablet ER,Telmikind Beta 40mg/25mg Tablet ER,Macsart Beta 25 Tablet ER,Telmed Beta 25 Tablet ER,Arbitel-MT 25 Tablet ER,Headache,Weakness,Dizziness,Cold extremities,Slow heart rate,Increased potassium level in blood,Numbness of extremity,Decreased blood pressure,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),,,,,,CARDIAC,No
taxim-o 400 tablet,Hifen 400 Tablet,Saxim 400mg Tablet,Secef 400mg Tablet,Plumcef 400mg Tablet,Zifi 400 Tablet,Nausea,Stomach pain,Indigestion,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Broad spectrum (Third & fourth generation cephalosporins},ANTI INFECTIVES,No
telsartan 40 tablet,Telmisoft 40 Tablet,Telmizem 40 Tablet,Telmizem 40 Tablet,Telmook 40mg Tablet,Tels 40mg Tablet,Upper respiratory tract infection,Sinus infection,Back pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure), Prevention of heart attack and stroke,Treatment of Heart failure,,,Benzimidazole derivative,CARDIAC,No
terbest tablet,Terbitotal Tablet,Terbinaforce Tablet,Lamifin Tablet,Ifin 250mg Tablet,Fungotek 250mg Tablet,Headache,Diarrhea,Rash,Indigestion,Abnormal liver enzyme,Itching,Taste change,Nausea,Abdominal pain,Flatulence,,,,,,,,,,,,,,,,,,,,,,,, Fungal infections,,,,,Allylamine,ANTI INFECTIVES,No
tusq-d cough lozenges sugar free,Cof Q Lozenges,Zedex Lozenges,Tusq-D Cough Lozenges Honey lemon,Tusq-D Cough Lozenges Orange,Tusq-D Lozenges Ginger,Headache,Sedation,Double vision,Vomiting,Diarrhea,Dryness in mouth,Nervousness,Nausea,Decreased appetite,Heartburn,Dizziness,Weakness,Discomfort when urinating,Polyuria,,,,,,,,,,,,,,,,,,,, Dry cough,,,,,,RESPIRATORY,No
tropicacyl plus eye drops,Tropieye Eye Drops,Tropidil Eye Drop,Opulus-P Eye Drop,Eseltrop Eye Drop,Tropic Plus Eye Drops,Eye pain,Stinging in the eyes,Blurred vision,Photophobia,Allergic reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Eye examination,,,,,,OPHTHAL,No
tenglyn m 500 tablet sr,Dynaglipt-M Tablet SR,Glipti Next M 500 Tablet SR,Gliptel-M Tablet SR,Tenaguard-M Tablet SR,Tenligress-M 500 Tablet SR,Hypoglycemia (low blood glucose level),Nausea,Vomiting,Diarrhea,Headache,Bloating,Flatulence,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,,ANTI DIABETIC,No
telma-beta 50 tablet er,Telmikind Beta 50 Tablet ER,Telvas Beta 50 Tablet ER,Macsart Beta 50 Tablet ER,Arbitel-MT 50 Tablet ER,Tel-Revelol 40/50 Tablet ER,Headache,Weakness,Dizziness,Cold extremities,Slow heart rate,Increased potassium level in blood,Numbness of extremity,Decreased blood pressure,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),,,,,,CARDIAC,No
tidilan 10 tablet,BIOSOX 10MG TABLET,Duvabel 10mg Tablet,Issue 10mg Tablet,Isolan 10mg Tablet,X-Ride 10mg Tablet,Dizziness,Palpitations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Premature Labor,Treatment of Peripheral vascular disease,,,,Phenylpropane Derivative,GYNAECOLOGICAL,No
tobacin eye/ear drops,Nayantob D Eye/Ear Drops,Nayatob 0.3% Eye/Ear Drops,Tobrative Eye/Ear Drops,Tobastar Eye/Ear Drops,Tobram Eye/Ear Drops,"Application site reactions (burning, irritation, itching and redness)",Eye irritation,Burning sensation,Eye redness,Eye itching,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Bacterial eye / ear infections,Treatment of Bacterial eye infections,,,,Aminoglycosides,OPHTHAL OTOLOGICALS,No
tadact 20 tablet,Tada 20mg Tablet,Tadovas 20mg Tablet,Bigfun 36 Tablet,Upwardz 20mg Tablet,Xyorg 20mg Tablet,"Flushing (sense of warmth in the face, ears, neck and trunk)",Headache,Blurred vision,Muscle pain,Upset stomach,Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Erectile dysfunction,,,,,Carboline Derivative,SEX STIMULANTS REJUVENATORS,No
telma 80 tablet,Newtel 80 Tablet,Telmikind 80 Tablet,Arbitel 80 Tablet,Tazloc 80 Tablet,Telsar 80 Tablet,Upper respiratory tract infection,Sinus infection,Back pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure), Prevention of heart attack and stroke,Treatment of Heart failure,,,Benzimidazole derivative,CARDIAC,No
tolpa d tablet,Bludec-SP Tablet,Diser Tablet,Lupisera D Tablet,Aldase-D 50mg/10mg Tablet,Diclomol SP 10 Tablet,Nausea,Vomiting,Heartburn,Stomach pain,Indigestion,Diarrhea,Loss of appetite,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,PAIN ANALGESICS,No
tenglyn tablet,Ecoglip-T Tablet,Dynaglipt Tablet,Tenlimac Tablet,Megagliptin Tablet,Glipon 20mg Tablet,Dizziness,Headache,Diarrhea,Hypoglycemia (low blood glucose level),Nausea,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,Alpha amino acid amides,ANTI DIABETIC,No
tazloc 20 tablet,Zimtel 20mg Tablet,Ezisartan 20mg Tablet,Telmikind 20 Tablet,Telmavas 20 Tablet,Telmijub 20 Tablet,Upper respiratory tract infection,Sinus infection,Back pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure), Prevention of heart attack and stroke,Treatment of Heart failure,,,Benzimidazole derivative,CARDIAC,No
tazloc-h tablet,Telvilite H 40mg/12.5mg Tablet,Telozit H 40mg/12.5mg Tablet,Telmidax-H Tablet,Telvas H 40/12.5 Tablet,Telmikind-H Tablet,Fatigue,Dizziness,Nausea,Diarrhea,Sinus inflammation,Flu-like symptoms,Upper respiratory tract infection,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),,,,,,CARDIAC,No
telekast-l kid syrup,Montina-L Syrup,1-AL M Syrup,Montemac-L Syrup,Lasma LC kid Syrup,Romilast L Syrup,Rash,Nausea,Diarrhea,Dryness in mouth,Fatigue,Headache,Skin rash,Sleepiness,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,Treatment of Hay fever,Treatment of Allergic skin conditions,,,,RESPIRATORY,No
tinnicar capsule,Tinnex Capsule,Carover 20mg Capsule,Tinnitod 20mg Capsule,,,Headache,Nausea,Dryness in mouth,Dizziness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Tinnitus (ringing in the ears),,,,,Quinoxaline Derivative,GASTRO INTESTINAL,No
temsan 40 tablet,Telmisoft 40 Tablet,Telmizem 40 Tablet,Telmizem 40 Tablet,Telmook 40mg Tablet,Tels 40mg Tablet,Upper respiratory tract infection,Sinus infection,Back pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure), Prevention of heart attack and stroke,Treatment of Heart failure,,,Benzimidazole derivative,CARDIAC,No
topinate cream,Lozivate Cream,Cortent Cream,Cortirate Cream,Cosvate Cream,Tufderm Cream,Skin atrophy,Telangiectasia,Skin irritation,Dry skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Allergic skin conditions,,,,,"Gluco/mineralocorticoids, progestogins and derivatives",DERMA,No
trulicity 1.5mg pre-filled pen,,,,,,Nausea,Diarrhea,Vomiting,Stomach pain,Loss of appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,Glucagon-like Peptide-1 (GLP-1) Analogue,ANTI DIABETIC,No
tropan 5 tablet,Nocturin 5mg Tablet,Cystran 5 Tablet,Oxyspas 5 Tablet,,,Dryness in mouth,Constipation,Diarrhea,Blurred vision,Dry skin,Dizziness,Headache,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Overactive bladder (OAB) symptoms,,,,,Tertiary Amine Derivative,UROLOGY,No
tusq-d cough lozenges orange,Cof Q Lozenges,Zedex Lozenges,Tusq-D Cough Lozenges Honey lemon,Tusq-D Cough Lozenges Sugar Free,Tusq-D Lozenges Ginger,Headache,Sedation,Double vision,Vomiting,Diarrhea,Dryness in mouth,Nervousness,Nausea,Decreased appetite,Heartburn,Dizziness,Weakness,Discomfort when urinating,Polyuria,,,,,,,,,,,,,,,,,,,, Dry cough,,,,,,RESPIRATORY,No
triglynase 1 tablet sr,Pioplus 1 Tablet SR,Ziglim Plus 1 Tablet SR,Dailyglim PM 1 Tablet SR,Glorimet PG 1 Tablet SR,Triglimiprex 1 Tablet SR,Hypoglycemia (low blood glucose level),Dizziness,Headache,Nausea,Vomiting,Diarrhea,Flatulence,Bronchitis (inflammation of the airways),Anemia (low number of red blood cells),Edema (swelling),,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,,ANTI DIABETIC,No
triglimiprex 2 tablet sr,Pioplus 2 Tablet SR,Ziglim Plus 2 Tablet SR,Triglynase 2 Tablet SR,Trigli 2 Tablet SR,Triopil 2 Tablet SR,Hypoglycemia (low blood glucose level),Dizziness,Headache,Nausea,Vomiting,Diarrhea,Flatulence,Bronchitis (inflammation of the airways),Anemia (low number of red blood cells),Edema (swelling),,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,,ANTI DIABETIC,No
tribet 2 tablet er,GPM-SR 2 Tablet,Debistal-GM 2 Tablet ER,K-Pio-Gm Tablet ER,Tri Gmnec 2 Tablet ER,Glytylus MP 2mg/500mg/15mg Tablet ER,Hypoglycemia (low blood glucose level),Dizziness,Headache,Nausea,Vomiting,Diarrhea,Flatulence,Bronchitis (inflammation of the airways),Anemia (low number of red blood cells),Edema (swelling),,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,,ANTI DIABETIC,No
teniva 20 tablet,Ecoglip-T Tablet,Dynaglipt Tablet,Tenlimac Tablet,Megagliptin Tablet,Glipon 20mg Tablet,Dizziness,Headache,Diarrhea,Hypoglycemia (low blood glucose level),Nausea,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,Alpha amino acid amides,ANTI DIABETIC,No
tears naturale forte ophthalmic solution,Comfortz Ophthalmic Solution,Comfortz Eye Drop,Aquaray-Forte Ophthalmic Solution,,,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Dry eyes,,,,,,OPHTHAL,No
trajenta duo 2.5mg/1000mg tablet,Ondero Met 2.5mg/1000mg Tablet,,,,,Hypoglycemia (low blood glucose level),Nausea,Diarrhea,Vomiting,Flatulence,Weight gain,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,,ANTI DIABETIC,No
teczine m tablet,Rizkas M Tablet,Montina-L Tablet,Lecope-M Tablet,Monticope Tablet,Levocet M Tablet,Nausea,Diarrhea,Dryness in mouth,Fatigue,Headache,Skin rash,Sleepiness,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,Treatment of Hay fever,Treatment of Allergic skin conditions,,,,RESPIRATORY,No
ticavic 90 tablet,Brigrel Tablet,Xygrel 90 Tablet,Ticastro 90 Tablet,Ticaplat 90mg Tablet,Torplat 90 Tablet,Bleeding,Breathlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Prevention of heart attack and stroke,,,,,Triazolopyrimidines,BLOOD RELATED,No
topaz 50 tablet,Elto 50mg Tablet,Leptomate 50 Tablet,Topik 50mg Tablet,Piratop 50mg Tablet,Epitop 50 Tablet,Abdominal pain,Diarrhea,Dizziness,Fatigue,Fever,Loss of appetite,Memory impairment,Nausea,Nervousness,Numbness,Psychomotor impairment,Sleepiness,Speech disorder,Taste change,Upper respiratory tract infection,Visual impairment,Weight loss,,,,,,,,,,,,,,,,, Epilepsy/Seizures,Prevention of Migraine, Lennox–Gastaut syndrome,,,Dioxolopyrans Derivative,NEURO CNS,No
trigan d tablet,Spasfiz 20mg/325mg Tablet,Spasmonil 20mg/325mg Tablet,De-Spas 20mg/325mg Tablet,Cyclo Plus Tablet,Acispas 20mg/325mg Tablet,Nausea,Dryness in mouth,Blurred vision,Sleepiness,Weakness,Nervousness,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Abdominal pain,,,,,,GASTRO INTESTINAL,No
telista-am tablet,Newtel-AM Tablet,Macsart AM Tablet,Telmikind-AM Tablet,Telvas-AM Tablet,Telmiset AM 40mg/5mg Tablet,Sleepiness,Ankle swelling,Headache,"Flushing (sense of warmth in the face, ears, neck and trunk)",Dizziness,Tiredness,Palpitations,Upset stomach,Increased potassium level in blood,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),,,,,,CARDIAC,No
terbest cream,Tifin Cream,Texifen Cream,Tervion 1% Cream,Lamifin Cream,Terbigen Cream,"Application site reactions (burning, irritation, itching and redness)",Skin peeling,Headache,Diarrhea,Rash,Indigestion,Abnormal liver enzyme,Itching,Taste change,Nausea,Abdominal pain,Flatulence,,,,,,,,,,,,,,,,,,,,,, Fungal skin infections,,,,,Allylamine,ANTI INFECTIVES,No
telekast a tablet pr,Abrofast-M Tablet PR,,,,,Vomiting,Heartburn,Stomach pain,Rash,Itching,Hives,Drowsiness,Breathing problems,Increased white blood cell count,Nasal inflammation,Flu-like symptoms,,,,,,,,,,,,,,,,,,,,,,,Treatment and prevention of Chronic obstructive pulmonary disease (COPD),Treatment of Sneezing and runny nose due to allergies,,,,,RESPIRATORY,No
tolifast 150 tablet,Tolmove 150mg Tablet,Myocom 150 Tablet,Tolsyn 150mg Tablet,Fentex 150mg Tablet,Toltab 150mg Tablet,Sleepiness,Fatigue,Dryness in mouth,Muscle weakness,Nausea,Vomiting,Abdominal pain,,,,,,,,,,,,,,,,,,,,,,,,,,, Muscle relaxation,,,,,Piperidine derivative,PAIN ANALGESICS,No
tolkem tablet,Tolmove 150mg Tablet,Myocom 150 Tablet,Tolsyn 150mg Tablet,Fentex 150mg Tablet,Toltab 150mg Tablet,Sleepiness,Fatigue,Dryness in mouth,Muscle weakness,Nausea,Vomiting,Abdominal pain,,,,,,,,,,,,,,,,,,,,,,,,,,, Muscle relaxation,,,,,Piperidine derivative,PAIN ANALGESICS,No
tapease ns nasal spray,Taprise NS Nasal Spray,,,,,Nausea,Sleepiness,Vomiting,Dizziness,Headache,"Flushing (sense of warmth in the face, ears, neck and trunk)",Constipation,Rash,Dyspepsia,,,,,,,,,,,,,,,,,,,,,,,,, Moderate to severe pain,,,,,Phenylpropanes Derivative,PAIN ANALGESICS,No
tugain 2% solution,Maxihair 2% Solution,Pylodil 2 Solution,Minoxy 2 Solution,Hairjoy M 2% Topical Solution,New Hair 4U 2% Solution,Itching,Chest pain,Headache,Hypertrichosis (excessive hair growth),Rash,Dermatitis,Hypersensitivity,Weight gain,Fluid retention,Tachycardia,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hair loss,,,,,Dialkylarylamines,DERMA,No
triquilar kit,,,,,,Nausea,Headache,Breast pain,Abdominal pain,Weight gain,Depression,,,,,,,,,,,,,,,,,,,,,,,,,,,, Contraception,,,,,,GYNAECOLOGICAL,No
tenepride 20 tablet,Ecoglip-T Tablet,Dynaglipt Tablet,Tenlimac Tablet,Megagliptin Tablet,Glipon 20mg Tablet,Dizziness,Headache,Diarrhea,Hypoglycemia (low blood glucose level),Nausea,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,Alpha amino acid amides,ANTI DIABETIC,No
topifort-nx topical suspension,,,,,,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Skin infections,,,,,,DERMA,No
tegrital cr 200 divitabs,Carbatol CR 200 Tablet,ZEN Retard 200 Tablet ER,Mazetol SR 200 Tablet,Carbamax 200mg Tablet ER,,Dizziness,Nausea,Vomiting,Constipation,Sleepiness,Abnormality of voluntary movements,,,,,,,,,,,,,,,,,,,,,,,,,,,, Epilepsy/Seizures, Trigeminal neuralgia, Diabetic nerve pain,,,Iminostilbene Derivative,NEURO CNS,No
thyronorm 125mcg tablet,Thyrofit 125 Tablet,Thyroxium 125mcg Tablet,Thyrogear 125mcg Tablet,Thyroxinol 125mcg Tablet,Thyrosig 125mcg Tablet,Palpitations,Vomiting,Anxiety,Diarrhea,"Flushing (sense of warmth in the face, ears, neck and trunk)",Weight loss,Nervousness,Restlessness,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypothyroidism,,,,,Iodinated amino acid derivative,HORMONES,No
tenoric 50 tablet,Atecard D Tablet,Tenochlor 50mg/12.5mg Tablet,Tenoclor 50 Tablet,,,Nausea,Dizziness,Slow heart rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Hypertension (high blood pressure),,,,,,CARDIAC,No
tolagin 4 tablet,Thioford AP Tablet,Bakwel-AP Tablet,Fense TH Tablet,Anaflam TH  4  Tablet,Thio-Seradic Tablet,Nausea,Vomiting,Heartburn,Stomach pain,Diarrhea,Loss of appetite,Dryness in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Muscular pain,,,,,,PAIN ANALGESICS,No
tropan 2.5 tablet,Nocturin 2.5mg Tablet,Oxyspas 2.5 Tablet,Cystran 2.5 Tablet,,,Dryness in mouth,Constipation,Diarrhea,Blurred vision,Dry skin,Dizziness,Headache,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Overactive bladder (OAB) symptoms,,,,,Tertiary Amine Derivative,UROLOGY,No
topisal 3% lotion,Betasalic S Lotion,Bariderm-S Lotion,Cambisalic Lotion,Topsor S Lotion,Zebet-S Lotion,Skin peeling,Thinning of skin,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Eczema,Treatment of Psoriasis,,,,,DERMA,No
tamlocept-d capsule pr,Urizee-D Capsule PR,Flodart Plus Capsule PR,Urisurge-D Capsule PR,Consistam D 0.4mg/0.5mg Capsule PR,Tamgress-D Capsule PR,Impotence,Decreased libido,Ejaculation disorder,Orthostatic hypotension (sudden lowering of blood pressure on standing),Breast enlargement in male,Breast tenderness in male,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Benign prostatic hyperplasia,,,,,,UROLOGY,No
tidilan retard tablet sr,Divos 40 Tablet SR,Isoman-SR 40 Tablet,Spzac 40mg Tablet SR,Prymavas 40mg Tablet SR,Avilan 40mg Tablet SR,Dizziness,Palpitations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Premature Labor,Treatment of Peripheral vascular disease,,,,Phenylpropane Derivative,GYNAECOLOGICAL,No
tolifast d tablet,Myocom D Tablet,Fentex D 150mg/50mg Tablet,Nactolax D 150mg/50mg Tablet,Tolpetab-D 150mg/50mg Tablet,Tolpispam D 150mg/50mg Tablet,Nausea,Vomiting,Sleepiness,Dizziness,Dryness in mouth,Fatigue,Muscle weakness,Abdominal discomfort,Abdominal pain,,,,,,,,,,,,,,,,,,,,,,,,, Pain due to muscle spasm,,,,,,PAIN ANALGESICS,No
tide 5 tablet,Zeetor 5 Tablet,METOR 5MG TABLET,Henletor 5mg Tablet,Lhd 5mg Tablet,Toresa 5 Tablet,Headache,Dizziness,Dehydration,Constipation,Decreased blood pressure,Upset stomach,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Treatment of Edema,,,,Sulphamoyl derivatives,CARDIAC,No
tazzle 20 tablet,Tada 20mg Tablet,Tadact 20 Tablet,Tadovas 20mg Tablet,Bigfun 36 Tablet,Upwardz 20mg Tablet,"Flushing (sense of warmth in the face, ears, neck and trunk)",Headache,Blurred vision,Muscle pain,Upset stomach,Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Erectile dysfunction,,,,,Carboline Derivative,SEX STIMULANTS REJUVENATORS,No
topirol 25 tablet,Topsulant 25mg Tablet,Topate 25mg Tablet,Leptomate 25 Tablet,Topirain 25mg Tablet,Epitop 25mg Tablet,Abdominal pain,Diarrhea,Dizziness,Fatigue,Fever,Loss of appetite,Memory impairment,Nausea,Nervousness,Numbness,Psychomotor impairment,Sleepiness,Speech disorder,Taste change,Upper respiratory tract infection,Visual impairment,Weight loss,,,,,,,,,,,,,,,,, Epilepsy/Seizures,Prevention of Migraine, Lennox–Gastaut syndrome,,,Dioxolopyrans Derivative,NEURO CNS,No
ticaspan tablet,Brigrel Tablet,Xygrel 90 Tablet,Ticavic 90 Tablet,Ticaplat 90mg Tablet,Torplat 90 Tablet,Bleeding,Breathlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Prevention of heart attack and stroke,,,,,Triazolopyrimidines,BLOOD RELATED,No
tidomet plus tablet,Syndopa Plus Tablet,LCD 100mg/25mg Tablet,Pardopa 100mg/25mg Tablet,,,Nausea,Vomiting,Dryness in mouth,Constipation,Dizziness,Sleepiness,Headache,Abnormal dreams,Anxiety,Insomnia (difficulty in sleeping),Abnormality of voluntary movements,Orthostatic hypotension (sudden lowering of blood pressure on standing),,,,,,,,,,,,,,,,,,,,,,Treatment of Parkinson's disease,,,,,,NEURO CNS,No
tricium pth injection,Bonotiode Injection,Terifrac Injection,Bonspark Injection,Osteofrac 750mcg Injection,Bonrange-PTH Injection,Joint pain,"Injection site reactions (pain, swelling, redness)",Nausea,Leg cramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Osteoporosis,,,,,Parathyroid Hormone Analogs,HORMONES,No
