medicamento_en,medicamento_principal,sustituto1_en,sustituto2_en,sustituto3_en,sustituto4_en,sustituto5_en,sustituto1_es,sustituto2_es,sustituto3_es,sustituto4_es,sustituto5_es
wosulin 30/70 40iu/ml injection,inyeccion de wosulin 30/70 40iu/ml,mixulin hpi 30/70 injection 40iu/ml,recosulin m 30 40iu/ml injection,insucare m 30 injection 40iu/ml,human mixact 30/70 injection 40iu/ml,biosulin 30/70 40iu/ml injection,inyeccion de mixulina hpi 30/70 40iu/ml,recosulina m 30 40iu/ml de inyeccion,insucare m 30 inyeccion 40iu/ml,inyeccion human mixact 30/70 40iu/ml,biosulina 30/70 40iu/ml de inyeccion
walaphage 500 tablet,tableta walaphage 500,biciphage 500 tablet,okamet 500 tablet,etformin 500mg tablet,bigomet 500 tablet,forson 500mg tablet,biphage 500 tableta,tableta okamet 500,tableta etformin 500mg,bigomet 500 tableta,tableta de 500 mg
womenox injection,inyeccion de womenx,loparin 40 injection,bruparin 40 injection,enclex 40 injection,floparin 40mg injection,cutenox 40mg injection,inyeccion de looparina 40,inyeccion de bruparin 40,inyeccion de enclex 40,floparina 40 mg de inyeccion,inyeccion cutenox de 40 mg
wegamycin a gel,wegamycin a gel,alight plus gel 15gm for acne treatment,nayzit gel,cutiwel gel,nioclean ad gel,acnesol a nano gel,alight plus gel 15gm para el tratamiento del acne,gel nayzit,gel cutiwel,gel de anuncio de nioclean,acnesol un nano gel
windose tablet,tableta windose,,,,,,,,,,
walaphage-g-1 tablet pr,walaphage-g-1 tablet pr,glimestar-m 1 tablet pr,metride 1 tablet pr,diapride m1 tablet pr,glycomet-gp 1 tablet pr,geminor m 1 tablet pr,glimestar-m 1 tableta pr,metride 1 tableta pr,diapride m1 tableta pr,glycompet-gp 1 tableta pr,geminor m 1 tableta pr
walaphage g 2 tablet pr,walaphage g 2 tableta pr,glimiprex mf 2/500 tablet pr,euglim-m 2 tablet pr,glimestar-m 2 tablet pr,metride 2 tablet pr,geminor m 2 tablet pr,glimiprex mf 2/500 tableta pr,euglim-m 2 tableta pr,glimestar-m 2 tableta pr,metride 2 tableta pr,geminor m 2 tableta pr
walaphage -sr 500 tablet,walaphage -sr 500 tableta,metlong 500 tablet sr,bigomet sr 500 tablet,scodia sr 500 tablet,metsmall 500 tablet sr,mefomin 500 sr tablet,metlong 500 tablet sr,bigomet sr 500 tablet,tableta scodia sr 500,metsmall 500 tablet sr,mefumin 500 sr tablet
wax-off kid ear drop,caida de orejas para ninos con cera,,,,,,,,,,
wosulin-r 40iu/ml injection,inyeccion wosulin-r 40iu/ml,human insunorm 40iu/ml injection,insulin (nnd) 40iu/ml injection,human fastact 40iu/ml injection,human monotard 40iu/ml injection,univia r 40iu/ml injection,inyeccion de inyeccion de 40iu/ml humano,inyeccion de insulina (nnd) 40iu/ml,inyeccion de 40iu/ml humano,inyeccion de 40iu/ml de monotard humano/ml,inyeccion de univia r 40iu/ml
wytrol capsule,capsula de wytrol,bonenice plus softgel capsule,,,,,capsula de bonenice plus softgel,,,,
wepox injection,inyeccion de wepox,,,,,,,,,,
wokadine 5% ointment,wokadine 5% unguento,zevodine ointment,puradine 5% ointment,bectodine 5% ointment,povinanz ointment,hiyadine 5% ointment,pomada de zevodina,puradine 5% deguenza,bectodina 5% unguento,pomada de povinanz,hiyadine 5% unguento
wokadine gargle,garla de wokadine,soludine solution,ioprep solution,wetadine 1 mouth spray mint,ioprep solution,,solucion soludina,solucion ioprep,wetadine 1 buck spray menta,solucion ioprep,
wet-comod eye drop,gota de ojos humedo,,,,,,,,,,
weltelmi trio 40mg/5mg/12.5mg tablet,weltelmi trio 40mg/5mg/12.5mg tableta,stamlo trio 40/12.5 tablet,temsi trio tablet,telista trio 40 mg tablet,eldotel trio 40 tablet,venpres amc 40mg/5mg/12.5mg tablet,stamlo trio 40/12.5 tableta,temsi trio tableta,telista trio 40 mg tableta,eldotel trio 40 tableta,venpres amc 40mg/5mg/12.5mg tableta
wosulin 50/50 injection 40iu/ml,inyeccion de wosulin 50/50 40iu/ml,insucare m 50 injection 40iu/ml,lupisulin m 50 40iu/ml injection,recosulin m 50 injection 40iu/ml,insugen 50/50 injection 40iu/ml,new wosulin 50/50 injection,insuce m 50 inyeccion 40iu/ml,inyeccion de lupisulina m 50 40iu/ml,recosulina m 50 inyeccion 40iu/ml,inyeccion de insugen 50/50 40iu/ml,nueva inyeccion de wosulin 50/50
wokadine 5% dusting powder,wokadine 5% polvo de polvo,bectodine 5% dusting powder,intadine dusting powder,healol 5% dusting powder,lupidine dusting powder,povidot 5% dusting powder,bectodina 5% de polvo de polvo,polvo de polvo intadino,healol 5% de polvo de polvo,polvo de polvo de lupidina,povidot 5% de polvo de polvo
walaphage -sr 1000 tablet,walaphage -sr 1000 tableta,minimet 1000mg tablet sr,metsmall 1000 tablet sr,bigomet -sr 1000 tablet,gluconorm sr 1gm tablet,riomet od 1000mg tablet sr,minimeta 1000 mg de tableta sr,metsmall 1000 tableta sr,bigomet -sr 1000 tableta,gluconorm sr 1gm tableta,riomet od 1000mg tablet sr
wetica-ds eye drop,caida del ojo wetica-ds,lubrifresh gel eye drop,misty gel,lubrifresh gel,ultra gel eye drop,just tears liquigel,lubrifresh gel ojo caida,gel brumoso,gel de lubrifresh,ultra gel gel gota,solo lagrimas liquigel
winbp 40 tablet,winbp 40 tableta,olmeblu 40 tablet,olmighty 40 tablet,olmetime 40 tablet,olmin 40 tablet,omen 40 tablet,olmeblu 40 tableta,olmighty 40 tableta,olmetime 40 tableta,olmin 40 tableta,omen 40 tableta
writex-gold soft gelatin capsule,capsula de gelatina suave writex-gold,retro-q10 softgel capsule,ubitab softgel capsule,aeovit-q10 softgel capsule,,,capsula de softgel retro-q10,capsula de ubitab softgel,capsula aeovit-q10 softgel,,
wocaine 2% gel,wocaine 2% gel,lox 2% jelly,lignocad gel,lignocare gel,xynova gel,lignocad gel,lox 2% jelly,gel de lignocad,gel de lignocare,gel xynova,gel de lignocad
winbp-trio 20 tablet,tableta winbp-trio 20,triolmighty 20 tablet,olmetime-amh 20 tablet,omnipres 20 amh tablet,olmewon plus 20 mg tablet,olmedawn trio 20mg/5mg/12.5mg tablet,triolmighty 20 tableta,olmetime-amh 20 tableta,omnipres 20 amh tableta,olmewon mas 20 mg de tableta,olmedawn trio 20mg/5mg/12.5mg tableta
wokadine 7.5% surgical scrub,wokadine 7.5% scrub quirurgico,cipladine 7.5% scrub,xepi scrub pvp,soludine scrub,heal fast 7.5% scrub,zypovid 7.5% scrub,cipladina 7.5% scrub,pvp de matorral xepi,matorral,sanar 7.5% exfoliante,zypovid 7.5% scrub
wetica eye drop,drop de los ojos de wetica,wat-r eye drop,just tears eye drop,takfresh eye drop,misty eye drop,relub eye drop,gota de ojo wat-r,solo lagrimas gota de ojos,takfresh eye good,gota de ojos brumoso,relub eye drop
winbp mt 50 tablet,winbp mt 50 tableta,olegard m 20mg/50mg tablet,olsavas m 20 mg/50 mg tablet,oltas m tablet,metspot ol 20 mg/50 mg tablet,olmark m 20mg/50mg tablet,olegard m 20mg/50mg tableta,olsavas m 20 mg/50 mg tableta,oltas m tableta,metspot ol 20 mg/50 mg tableta,olmark m 20mg/50mg tableta
winbp ct 20/6.25 tablet,winbp ct 20/6.25 tableta,olmeglare ch 20 mg/6.25 mg tablet,ibolme ct ld 20mg/6.25mg tablet,omen ct 20mg/6.25mg tablet,zione o 20mg/6.25mg tablet,biolsar 20 tablet,olmeglare ch 20 mg/6.25 mg tableta,ibolme ct ld 20mg/6.25mg tableta,omen ct 20mg/6.25mg tableta,zione o 20mg/6.25mg tableta,biolsar 20 tableta
weltelmi-am 40 tablet,weltelmi-am 40 tableta,newtel-am tablet,macsart am tablet,telmikind-am tablet,telvas-am tablet,tazloc-am tablet,tableta de newtel-am,macsart am tableta,telmikind-am tableta,telvas-am tableta,tazloc-am tableta
winbp 20 h tablet,winbp 20 h tableta,olmighty 20 h tablet,olmetime-h 20 tablet,olsertain-h -20 tablet,olvas-h tablet,olmin 20-h tablet,tableta olmighty 20 h,olmetime-h 20 tableta,olsertay -h -20 tableta,tableta olvas-h,tableta olmin 20-h
winbp ct 40/12.5 tablet,winbp ct 40/12.5 tableta,olmetime-ct 40 tablet,olmat 40 ct tablet,olmetrack ct 40/12.5 tablet,olmark ct 40 tablet,olsar ch 40mg/12.5mg tablet,olmetime-ct 40 tableta,tableta olmat 40 ct,olmetrack ct 40/12.5 tableta,olmark ct 40 tablet,olsar ch 40mg/12.5mg tableta
weltelmi mt 40mg/50mg tablet,weltelmi mt 40mg/50mg tableta,timsart m 40mg/50mg tablet,zeoformin ms 40mg/50mg tablet,m let t 40mg/50mg tablet,telinor mt 40mg/50mg tablet,telnyle m 40mg/50mg tablet,timsart m 40mg/50mg tableta,zeoformina ms 40mg/50mg tableta,m sea t 40mg/50mg tableta,telinor mt 40mg/50mg tableta,telnyle m 40mg/50mg tableta
wincit m 5mg/10mg tablet,wincit m 5mg/10mg tableta,montina-l tablet,solitair tablet,lecope-m tablet,monticope tablet,levocet m tablet,tableta montina-l,tableta de solitario,tableta lecope-m,tableta monticope,levocet m tableta
waypra-d capsule sr,capsule de waypra-d sr,pepcia-d capsule sr,rabekind-dsr capsule,rzole dsr capsule,rabitop-d capsule sr,rabezol dsr  capsule,capsula pepcia-d sr,capsula rabekind-dsr,capsula rzole dsr,capsula rabitop-d sr,capsula de rabezol dsr
wokadine 5% solution,solucion de 5% de wokadine,,,,,,,,,,
wepox safe 5000iu injection,inyeccion de wepox safe 5000iu,repoitin 5000 injection,recormon 5000iu injection,eposis 5000iu injection,epotrust 5000iu injection,shanpoietin 5000iu injection,inyeccion de repoitina 5000,inyeccion de 5000iu,eposis 5000iu inyeccion,epotrust 5000iu inyeccion,inyeccion de shanpoietin 5000iu
welooz-ig husk powder,bodooz-ig polvo de casa,,,,,,,,,,
womazol tablet,tableta de mujeres,aromita tablet,femistra tablet,anastronat 1mg tablet,femitraz tablet,elinal  tablet,tableta aromita,tableta femistra,tableta anastronat 1mg,tableta femitaz,tableta elinal
wokadine m cream,wokadine m cream,ecoseptic cream,sanpodin cream,emdon cream,nesdon-m cream,povimax-m cream,crema ecoseptica,crema sanpodin,crema emdon,crema nesdon-m,crema povimax-m
xylocaine 2% jelly,xilocaina 2% gelatina,ligpluse 2% jelly,,,,,ligpluse 2% jelly,,,,
xyzal 5mg tablet,tableta xyzal 5mg,lecope tablet,lcz tablet,1-al tablet,hatric tablet,levocet tablet,tableta de lecope,tableta lcz,1-al tableta,tableta hedicular,tableta de levocet
xone 1000mg injection,inyeccion de 1000 mg de xone,xone hospital 1000mg injection,ritecef 1000mg injection,cefaxone 1gm injection,trixon 1000mg injection,ceftrax 1000mg injection,inyeccion de 1000 mg de hospital xone,inyeccion ritecef 1000mg,inyeccion de cefaxone 1gm,inyeccion trixon 1000mg,inyeccion de 1000 mg de ceftrax
xykaa mr 4 tablet,xykaa mr 4 tableta,pam th 500mg/4mg tablet,hihit p 500mg/4mg tablet,,,,pam th 500mg/4mg tableta,hihit p 500mg/4mg tableta,,,
xarelto 10mg tablet,tableta xarelto 10mg,ifaxa 10mg tablet,rivatroy 10 tablet,rivaban 10 tablet,rivastar 10mg tablet,rivaford 10mg tablet,tableta ifaxa 10mg,rivatroy 10 tableta,rivaban 10 tableta,tableta riveastar 10mg,tableta rivaford 10mg
xarelto 20mg tablet,tableta xarelto 20mg,rivaban 20 tablet,rivolas 20 tablet,ricosprin 20 tablet,rixar 20 tablet,cameriv 20mg tablet,rivaban 20 tableta,rivolas 20 tableta,ricosprin 20 tableta,tableta rixar 20,tableta cameriv 20mg
xalatan eye drop,gota de ojos xalatan,davaindia latanoprost 0.005% eye drop,auroprost-rt eye drop,ioprost eye drop,latochek eye drop,last time eye drop,davaindia latanoprost 0.005% eye drop,auroprost-rt ojo caida,ioprost eye drop,latochek eye drop,ultima hora
xyzal m tablet,tableta xyzal m,montina-l tablet,solitair tablet,lecope-m tablet,monticope tablet,levocet m tablet,tableta montina-l,tableta de solitario,tableta lecope-m,tableta monticope,levocet m tableta
xafinact 50 tablet,xafinact 50 tableta,zafimove 50mg tablet,safion 50mg tablet,,,,zafimove 50mg tableta,tableta safion 50mg,,,
xyzal syrup,jarabe xyzal,vocetin 2.5mg syrup,grilcet 2.5mg syrup,zucet syrup,1-al syrup,belrin-lz syrup,vocetin 2.5mg jarabe,grilcet 2.5mg jarabe,jarabe,1-al jarabe,jarabe de belrin-lz
xylocaine spray,spray de xilocaina,funtime 10% spray,lignox spray,suhagra duralong spray,lox 10% spray,,funtime 10% spray,spray,suhagra duralong spray,lox 10% spray,
xygrel 90 tablet,xygrel 90 tableta,brigrel tablet,ticastro 90 tablet,ticavic 90 tablet,ticaplat 90mg tablet,torplat 90 tablet,tableta de brigel,ticastro 90 tableta,ticavic 90 tableta,ticaplat 90mg tableta,torplat 90 tableta
xtor 10 tablet,xtor 10 tableta,zivast 10 tablet,storvas 10 tablet,tonact 10 tablet,atorlip 10 tablet,caat 10 tablet,zivast 10 tableta,storvas 10 tableta,tonact 10 tableta,atorlip 10 tableta,caat 10 tableta
xarelto 2.5mg tablet,tableta xarelto 2.5mg,rebless 2.5mg tablet,rivatroy 2.5 tablet,rivaban 2.5mg tablet,rivatane 2.5mg tablet,rivared 2.5mg tablet,reblases 2.5mg tableta,rivatroy 2.5 tableta,rivaban 2.5mg tableta,rivatane 2.5mg tableta,tableta de 2.5 mg rived
xarelto 15mg tablet,tableta xarelto 15mg,rivatroy 15 tablet,rivatop 15mg tablet,rivaban 15 tablet,cameriv 15mg tablet,flovas 15mg tablet,rivatroy 15 tableta,rivatop 15mg tableta,rivaban 15 tableta,tableta de 15 mg de cameriv,flovas 15 mg de tableta
xylocaine 2% injection,xilocaina 2% de inyeccion,resocaine 2% injection,biocaine 2% injection,ligopil 2% injection,anescaine 2% injection,xylonumb 2% injection,inyeccion del 2% de resocaina,biocaina 2% de inyeccion,inyeccion ligopil 2%,anescaine 2% de inyeccion,xylonumb 2% de inyeccion
xylocaine viscous solution,solucion viscosa de xilocaina,,,,,,,,,,
xylocaine 5% ointment,xilocaina 5% unguento,lox 5% ointment,lox 5% ointment,lidovac ointment,xylo ointment,gesicain ointment,lox 5% unguento,lox 5% unguento,pomada de lidovac,pomada xylo,pomada de gesicain
xevor 5mg tablet,tableta xevor 5mg,lecope tablet,lcz tablet,1-al tablet,hatric tablet,levocet tablet,tableta de lecope,tableta lcz,1-al tableta,tableta hedicular,tableta de levocet
xigduo xr 10mg/1000mg tablet,xigduo xr 10mg/1000mg tableta,switdapa m 10mg/1000mg xr tablet,dapazol m 10/1000 tablet er,gluflozin mf forte 10/1000 tablet er,justoza m 10mg/1000mg tablet er,zinodap m 10/1000 tablet er,switdapa m 10mg/1000mg xr tableta,dapazol m 10/1000 tableta er,gluflozin mf forte 10/1000 tableta er,justza m 10mg/1000mg tableta er,zinodap m 10/1000 tableta er
xtralite mild cream,xtralite suave crema,,,,,,,,,,
xenadom 500 tablet,xenadom 500 tableta,domstal np 500mg/10mg tablet,minado 500 tablet,comig 500 tablet,naprosyn d 500 tablet,dazmig d 500mg/10mg tablet,domstal np 500mg/10mg tableta,minado 500 tableta,comig 500 tableta,naprosyn d 500 tableta,dazmig d 500mg/10mg tableta
xlha eye drop,xlha eye drop,hy 5  eye drop,vista ha eye drop,softvisc 0.1% lubricant eye drop,lupi-ha eye drop,hylowell eye drop,hy 5 gota de ojos,vista ha eye drop,softvisc 0.1% lubricante eye drop,lupi-ha ojo gota,drop de los ojos de hylowell
xpect-b expectorant mango payari black currant,xpect-b expectorant mango payari negro corriente,,,,,,,,,,
xymoheal d tablet,tableta xymoheal d,myoheal d tablet,edinase-d  tablet,seradic-plus tablet,umanoflam-d tablet,coevitenz  -d tablet,myoheal d tableta,tableta edinasa-d,tableta seradic-plus,tableta umanoflam-d,coevitenz -d tableta
xstan-h tablet,tableta xstan-h,zitelmi-h tablet,telvas h 40/12.5 tablet,telmikind-h tablet,telmisat h tablet,telmed h tablet,tableta zitelmi-h,telvas h 40/12.5 tableta,telmikind-h tableta,telmisat h tableta,telmed h tableta
xoclave 625 tablet,xoclave 625 tableta,moxikind-cv 625 tablet,moxiforce-cv 625 tablet,fightox 625 tablet,advent 625 tablet,novamox cv 625mg tablet,moxikind-cv 625 tableta,moxiforce-cv 625 tableta,pableta fultox 625,adviento 625 tableta,novamox cv 625mg tableta
xyzal m suspension,suspension xyzal m,monticope suspension,cetwis-m oral suspension,vibmont l oral suspension,lzet-m kid oral suspension,alrocet m oral suspension,suspension de monticope,suspension oral de cetwis-m,suspension oral de vibmont l,suspension oral de kid lzet-m,alrocet moral suspension
xtralite cream,crema xtralite,,,,,,,,,,
xet cr 12.5 tablet,xet cr 12.5 tableta,pxr 12.5mg tablet pr,parona cr 12.5 tablet,pariwave cr 12.5 tablet,prozet 12.5mg tablet pr,panex-cr 12.5 tablet,pxr 12.5mg tableta pr,parona cr 12.5 tableta,pariwave cr 12.5 tableta,prozet 12.5mg tableta pr,panex-cr 12.5 tableta
xtor-f tablet,tableta xtor-f,ozovas-f  tablet,orvas-ft tablet,lipikind-f tablet,zivast-f tablet,atchol-f tablet,tableta ozovas-f,tableta orvas-ft,tableta lipikind-f,tableta zivast-f,tableta atchol-f
xamic 500 tablet,tableta xamic 500,extam 500mg tablet,noloss 500mg tablet,trexanet 500mg tablet,texakind 500mg tablet,synostat 500mg tablet,tableta extam 500mg,noloss 500mg tableta,trexanet 500mg tableta,texakind 500mg tableta,sinoestat 500 mg de tableta
xone o 200mg/200mg tablet,xone o 200mg/200mg tableta,microcef-o tablet,zipod o 200 mg/200 mg tablet,cepodem-o tablet,kefpod o 200 mg/200 mg tablet,gudcef plus tablet,microcef-o tableta,zipod o 200 mg/200 mg de tableta,tableta de cepodem-o,kefpod o 200 mg/200 mg de tableta,tableta gudcef plus
xpect-pd syrup strawberry,xpect-pd jarabe strawberry,broxtid syrup,ambodex tr syrup,ambro s 1.25mg/15mg syrup,ag bronc syrup,mbrox s syrup,jarabe de broxtid,ambodex tr jarabe,ambro s 1.25mg/15mg jarabe,jarabe de ag bronc,jarabe de mbrox
xtpara proglet tablet sr,xtpara proglet tablet sr,fevanex mr 1000 tablet,femol 300mg/700mg tablet sr,maxmol 300mg/700mg tablet sr,plentimol 300mg/700mg tablet sr,qustain p 1000 tablet sr,fevanex mr 1000 tableta,femol 300mg/700mg tableta sr,maxmol 300mg/700mg tablet sr,plentimol 300mg/700 mg de tableta sr,qustain p 1000 tablet sr
xyzal 10mg tablet,tableta xyzal 10mg,levosiz 10 tablet,lcz 10 tablet,imusun 10mg tablet,1-al 10 tablet,valicet 10mg tablet,levosiz 10 tableta,lcz 10 tableta,tableta imusun 10mg,1-al 10 tableta,valicet 10mg tableta
xenadom 250 tablet,xenadom 250 tableta,minado tablet,domstal np 250mg/10mg tablet,comig 250 tablet,naprolet d 250mg/10mg tablet,macprox dp 250 tablet,tableta de minado,domstal np 250mg/10mg tableta,comig 250 tableta,naprolet d 250mg/10mg tableta,macprox dp 250 tableta
ximeceff 200 tablet dt,ximeceff 200 tableta dt,vibazime 200 dt tablet,safexim 200 tablet dt,omnix 200 dt tablet,extacef 200 dt tablet,cefiwok 200 dt tablet,tableta vibazime 200 dt,safexim 200 tableta dt,tableta omnix 200 dt,tableta extacef 200 dt,tableta cefiwok 200 dt
xeloda 500mg tablet,tableta xeloda 500mg,capegard 500 tablet,distamine 500mg tablet,capecad 500mg tablet,cacit 500mg tablet,zenocite 500mg tablet,capegard 500 tableta,distamine 500mg tableta,capecad 500mg tableta,cacit 500mg tableta,tableta zenocita 500mg
xtor 20 tablet,xtor 20 tableta,atchol 20 tablet,lipikind 20 tablet,orvas 20 tablet,zivast 20 tablet,lipvas 20 tablet,tableta atchol 20,tableta lipikind 20,orvas 20 tableta,zivast 20 tableta,lipvas 20 tableta
xtor 40 tablet,xtor 40 tableta,atchol 40 tablet,lipikind 40 tablet,mactor 40 tablet,atorsave 40 tablet,ldlow 40mg tablet,atchol 40 tableta,tableta lipikind 40,mactor 40 tableta,atorsave 40 tableta,tableta ldlow 40mg
xigduo xr 10mg/500mg tablet,xigduo xr 10mg/500mg tableta,dapamac m 10mg/500mg tablet er,justoza-m 10/500 tablet er,sgltd m 10mg/500mg tablet er,zinodap m 10mg/500mg tablet er,switdapa-m 10/500 xr tablet,dapamac m 10mg/500mg tableta er,justza-m 10/500 tableta er,sgltd m 10mg/500mg tableta er,zinodap m 10mg/500mg tableta er,switdapa-m 10/500 xr tableta
xoxe 500 tablet,xoxe 500 tableta,cefoxim 500 tablet,zefu 500 tablet,bigcef 500 tablet,cefakind 500 tablet,pulmocef 500 tablet,cefoxim 500 tableta,zefu 500 tableta,bigcef 500 tableta,cefakind 500 tableta,pulmocef 500 tableta
xl mont 5mg/10mg tablet,xl mont 5mg/10mg tableta,montina-l tablet,solitair tablet,lecope-m tablet,monticope tablet,levocet m tablet,tableta montina-l,tableta de solitario,tableta lecope-m,tableta monticope,levocet m tableta
xigduo 5mg/1000mg tablet ir,xigduo 5mg/1000mg tableta ir,oxramet 5mg/1000mg tablet ir,gledepa met 5mg/1000mg tablet ir,,,,oxramet 5mg/1000mg tableta ir,gledepa se reunio con 5 mg/1000 mg de tableta ir,,,
xgeva solution for injection,solucion xgeva para inyeccion,,,,,,,,,,
xpect-d syrup,jarabe xpect-d,alkof junior syrup,respicure-d syrup,torex junior syrup,chericof syrup,respicure-d syrup,jarabe junior de alkof,jarabe de respicura-d,jarabe junior torex,chericof jarabe,jarabe de respicura-d
xpect-ls expectorant,xpet-ls expectorant,asthakind-ls expectorant cola sugar free,nakuf ls+ sf expectorant cherry sugar free,piritexyl-ls sf expectorant,tuspel ls 1 expectorant,macbery ls expectorant sugar free,asthakind-ls expectorant cola azucar libre,nakuf ls+ sf expectorant cherry azucar gratis,piritexyl-ls sf expectorant,tuspel ls 1 expectorant,macbery ls expectorant azucar gratis
xprab vaccine,vacuna xprab,,,,,,,,,,
xtane tablet,tableta xtane,xmalon 25mg tablet,exmasin 25mg tablet,exeget 25mg tablet,samexa 25mg tablet,exetraz 25mg tablet,tableta xmalon 25mg,exmasin 25mg tableta,tableta de 25 mg de exetetos,samexa 25mg tableta,tableta de 25 mg de exetraz
xafinact 100 tablet,xafinact 100 tableta,zafimove 100 tablet,safion 100mg tablet,,,,zafimove 100 tableta,tableta safion 100mg,,,
xanilax sr 200 tablet,tableta xanilax sr 200,venphylin-sr tablet,uliphyalline 200 sr tablet,asmasafe 200mg tablet sr,acethama 200 sr tablet,abiways 200 sr tablet,tableta venphylin-sr,uliphyalina 200 sr tableta,asmasafe 200mg tableta sr,acethama 200 sr tablet,abiways 200 sr tableta
